sample,H3N2F1,H3N3,H3N3F1,H3N4,H3N4F1,H3N5,H3N5F1,H3N5F3,H3N7,H4N2,H4N3,H4N3S1,H4N3F1,H4N3F1S1,H4N4,H4N4S1,H4N4F1,H4N4F1S1,H4N4F3S1,H4N5,H4N5S1,H4N5F1,H4N5F1S1,H4N6S1,H5N2,H5N3,H5N3S1,H5N3F1S1,H5N4,H5N4S1,H5N4S2,H5N4F1,H5N4F1S1,H5N4F1S2,H5N4F2,H5N4F2S1,H5N5,H5N5S1,H5N5S2,H5N5F1,H5N5F1S1,H5N5F1S2,H5N5F2,H6N2,H6N3,H6N3S1,H6N3F1S1,H6N4S1,H6N4S2,H6N4F1S1,H6N5,H6N5S1,H6N5S2,H6N5S3,H6N5F1,H6N5F1S1,H6N5F1S2,H6N5F1S3,H6N5F2S3,H6N6,H6N6F1S1,H6N6F1S2,H7N2,H7N6S1,H7N6S2,H7N6S3,H7N6S4,H7N6F1S2,H7N6F1S3,H7N6F1S4,H8N2,H9N2
S100,NA,2736.698425639337,2605.481684893874,2453.490197441488,33766.2400311028,1743.279870712867,5994.2763399441365,NA,NA,568.002118805622,3438.154378692142,19547.74253793724,2799.050920093914,4704.201714770983,11862.90316944294,13201.51173731263,106363.8884665128,12647.54376262471,NA,4301.62101905133,4196.076640841085,16859.59690174538,8374.258676849142,NA,12502.85452304563,3560.789503764251,5880.375912774622,2270.624444282398,20823.18279017459,235664.0089384892,1442407.999466687,85825.18983951966,160925.2879397442,129070.361238685,1143.73880269292,NA,5500.689175112147,36144.13318929839,8190.924672127693,17234.90633407425,88165.91153682237,53605.24499007986,NA,22983.44184321958,1777.496925083988,4757.818543574182,NA,11727.00015217222,6900.350125507624,NA,4857.618986563764,17090.72976823941,47091.14974691789,289566.7247092476,NA,6549.818543316004,7325.510563026637,29708.10685509951,609.4641116177171,NA,964.3591650199728,591.6548974236644,10237.83771318053,901.1214306118668,5178.117311664276,7427.483838190248,10027.20019478966,980.8155149737876,1180.172148884879,1514.455607707385,23498.65212176511,15927.90862801722
S105,NA,NA,3460.826638200238,2637.22078555624,38994.9330483649,2432.607565782275,8905.337222046774,NA,NA,830.9403806381126,4504.284053811627,28365.92765678905,3638.362822691015,7224.794412769284,10728.53346944,18459.35598618538,112604.4997187121,18527.17113772758,NA,5191.293144758535,5227.529833205513,23661.87006279543,NA,NA,19905.25648518891,4257.426717931796,7387.2421344622,3310.784579177585,21119.25776574609,283172.9938106729,1858883.687114536,99305.32336494188,206099.3119826629,195798.2878260725,1789.013322109819,3909.156886114027,5180.831356067092,39485.52256999185,10786.7555244589,23166.58351141183,127341.3357006326,71752.34628955479,3846.321650594513,35332.20641253428,2244.701220600631,7575.149898607431,2917.004602290122,6276.154493592031,4389.891663879419,NA,4308.460512724036,22576.1854811151,47406.22704832583,273365.6850309292,NA,8277.897259925881,15812.53442806535,98709.64383678915,2859.204860960885,NA,1016.563995632831,993.5135659322134,13499.46476144424,1196.900062724315,5925.89481420595,8644.893734332774,12809.96619733215,2255.349389302131,2867.418643194648,5223.314796140299,28873.09441427143,25416.21582722739
S109,NA,3370.061599980718,2802.093893075696,2968.274986439005,50928.92077087324,2767.43082713683,8403.669801661832,NA,NA,521.6997801349164,3543.025211791577,23433.89640485229,2423.180829491963,NA,10262.53175908829,15551.91484714526,110903.4330731574,11968.61715338275,NA,5237.525277286425,5116.646692972264,16604.07401340954,NA,NA,8105.640226696768,1755.268175450779,5302.59492475635,2295.541518700067,19486.63916479599,233934.6832537094,1569142.138649289,75444.6514434146,114890.2633339462,159498.6650752675,1238.219408193914,3488.127119348606,4823.818105353334,29357.08011358613,8488.461723880948,11715.18571792159,46954.29049750498,46221.15735870959,3084.809647921802,13245.82656613202,1376.336552645687,4991.860664309669,1058.691618604845,6445.953227362667,4977.680945019929,NA,3851.798664622631,19284.28531983785,50819.59814580259,298779.7128766261,NA,7811.601612567815,14672.15539310991,101712.8379241727,3158.611765208751,NA,1067.246864348289,1165.104821590919,5334.707855152998,1364.596822475146,7174.449383842305,10508.91484429614,15630.84587468968,2266.18525044211,3133.138862787594,5851.138042139545,14109.58939287255,18097.4278437232
S110,NA,2900.247281501264,2136.210570955097,1997.580752525676,32602.24106198399,1931.337607604347,5731.502187944066,NA,NA,403.4871122329627,2811.84473180348,19406.93015803134,1912.83435390238,NA,6771.036625838512,11205.2760583135,70556.63757206022,8221.248961830377,NA,3479.703911859469,3629.849113340585,10471.02808123014,NA,NA,4886.483311742646,1182.970777503311,3435.000332182231,1552.062889632987,12509.10611403913,164499.3442169326,1162124.409296386,46180.34958691505,77029.49669864992,114379.8319038408,941.8654033241028,NA,2860.323311935462,18530.22289354397,6411.012452169083,7586.264033797089,33758.60368618363,33474.22411887483,2003.016362670858,7647.066693409564,866.448769665115,3247.378392969868,1244.570982525894,4748.545664172954,3672.290524109461,NA,3012.12655907701,12747.62681543028,35848.21199277244,225782.1439143081,NA,5367.8233823920345,11184.49272370787,81626.22324128752,2661.197669020524,NA,765.9532239506212,691.9737751329478,3125.188262038451,855.980652779433,5050.624710491992,8236.094723541193,13205.44735201054,1850.503976886838,2713.044772669024,5435.778009289573,7327.643346892826,9343.644870707183
S111,NA,NA,3939.808715329417,4310.783927966853,96207.15721798368,9912.13769086765,15348.78384945729,NA,3410.773670368935,905.6817078955175,3737.800291048927,20718.5143867126,3386.00667419705,9929.014181290711,11575.98070584124,15735.87205826809,137192.2446451611,19669.17848474465,NA,9869.4529384577,12595.25186408113,38238.7436554106,23164.34433203528,NA,25588.69525189601,2976.517350098995,12249.22665710664,4052.121823548022,18471.02493588916,185378.2635933683,1262128.155586711,87725.12586992445,210735.6640502131,322810.8116756968,1415.3106480073,3846.625088459818,6319.097103795805,45565.93068620443,17678.75995852877,21985.92689548898,89212.51939100728,90971.12586754448,NA,32653.2062234228,2517.864468586308,13695.24496634002,2724.679735971247,7084.078829993779,7097.236085191077,NA,1921.289549439393,21338.48232171727,43627.90833490587,258069.140602151,NA,18335.98538771839,30152.94164136968,173828.8943741036,10898.65553892584,NA,1946.97745932672,3495.527449298438,18499.94982891993,6078.459465425037,15412.57270580232,19159.50770182522,27150.91621344706,8081.342500767933,10930.93993939455,17386.68138535015,34301.31795852174,39162.62576001365
S116,NA,2589.393538751545,2430.934656769498,2822.089567258331,51951.01830482764,3932.818407302939,7194.781249737635,NA,NA,457.7228621600944,2661.889316041589,15550.8691997972,2139.939788058493,4954.467878028106,7171.543410666081,11370.10870319638,86444.74234156638,13070.83976645647,NA,5892.961984130084,7701.042465098504,16165.71035821272,9938.536325390096,NA,7199.252306295185,1592.809127868287,5110.891318585899,2657.399085881545,11572.16771603904,161414.1314398349,965834.0529652756,45679.70177499684,116468.1220767247,191764.498387712,1005.111260287479,2057.152331730308,4092.334263949566,28811.20343464173,10000.33094995091,11081.70776421685,60532.68108589687,80307.46106134765,NA,13209.20798209692,947.2510797888322,4478.498734026762,1906.45861916701,5156.116400220782,5619.426927605879,NA,NA,10575.00285054418,31702.84020871715,213067.9810894461,NA,7799.921908032063,25918.86159420756,261323.2566797024,16980.39557335444,NA,1440.208059455328,3539.555400286119,7143.602411464038,1006.560575851023,4736.118650380279,7764.916818020671,18415.95803694578,3340.41064327055,6848.904807238034,21506.87610302636,15126.69760259563,14820.66285022816
S126,NA,2095.280973536163,2247.555448047172,1619.015529538917,68676.98355816588,2533.947113748709,7843.917310542606,NA,NA,453.4930172236179,2640.636816999666,15535.44173936583,1916.066826460572,NA,5225.567029071659,11192.18278961302,111513.7294562421,11746.39514064153,NA,3515.970257691445,3196.884958412305,12011.9829450753,7492.796506515517,NA,10346.72607135743,1486.851146531582,6593.908302850195,6378.64569931219,12436.3475451915,167306.9468422534,1171873.762022516,50922.02051027649,96344.04931691891,118380.8021992859,1959.027417633265,NA,4070.621910822423,28052.73300016919,4039.557867406336,8538.984083426756,30005.29428385017,29658.69512726611,2274.928292437025,12821.71884567533,1792.277959089599,8859.20229405095,1790.88760914879,NA,3236.646011410737,NA,NA,10342.6148588347,18893.03898034184,84777.30004846885,NA,7057.916963362926,15743.2631633871,88593.43123931602,3738.273669550562,NA,1117.815891201737,1827.562909948949,6096.851239725993,581.7340232719357,2361.546905675903,2572.466112955038,2940.084653450519,2107.060654262557,2527.168009004591,3496.003928193028,11077.48632126901,16496.58497762798
S129,NA,2967.20441241354,3114.837764425035,1242.026673326917,31758.71850191621,2044.326860119259,6164.074216937874,NA,NA,578.3988278907054,3604.137716077457,23344.26946855026,3351.387043907353,3978.970716848899,7301.830008008642,17259.02773213505,119552.5889326262,14844.17858129094,NA,3633.430540621756,2948.059975481304,18335.68888656727,NA,NA,13247.81074462052,2729.924540800559,6044.355050097303,2949.655190490884,20271.52543588667,277185.4368457261,1767963.31050105,141677.7858302362,193885.8823794578,136188.7840551424,1864.678583176444,3920.41653465219,5228.614898205003,24745.35482990854,6362.545115094777,15102.44289096882,57696.82424437394,34823.35518945892,NA,21691.91907577866,1898.058323943737,6925.73682400841,1920.41164388485,9912.10071419935,5296.864466047162,NA,3335.091188480078,23145.6177557644,48155.17696395273,227971.0802710473,NA,8380.16320984668,16095.334730633,114425.6454610325,2651.338459883954,NA,967.2550942348204,1476.474926036582,9052.903965927258,3609.059713391532,6621.305337391448,7442.738839605957,8706.116823414335,2394.973242625838,3224.876501872827,4939.736996554568,22179.93602692252,21093.36179260692
S13,NA,890.9345694530565,1209.342765455621,1024.167521651413,33447.02037945095,1890.214044844727,6616.597550876915,NA,NA,317.2039230853212,1391.974313710161,9136.481996715002,1223.674000927002,2263.613345524096,3857.602955557276,7310.84027756346,89054.50373790851,7717.146307434856,NA,2974.275180151126,3619.199930726019,18847.0569303529,9099.98399051035,NA,13536.10389282449,1474.761988632579,5319.030095088609,2178.329767184034,7872.01046320249,146964.9484174529,1192955.343269055,68784.73111393375,103604.6464999031,77570.85320654229,845.0711926996808,2678.482758701593,4522.682431821987,31988.45136119567,4680.001208469184,12960.97875508782,62391.21914713602,42096.3340774542,1418.224283657289,20006.45295566143,1162.529104266338,5634.052983456217,1138.591593890011,NA,2674.869524203744,NA,1611.510525420382,15040.98629682969,26527.02591467093,145882.7972275988,NA,5328.204643473541,9440.88615515154,65452.23064095247,1546.690937764457,NA,NA,1379.22008772834,7704.273907617418,2350.996355709399,4657.156723861061,4893.156656138167,5190.815352830121,1708.466658583002,2273.23819902579,3222.539748205126,16905.79271666848,16830.56402682546
S133,NA,3217.155539148129,3538.448509970187,3705.021286972469,91834.83362314124,6541.010553533763,15130.18732501195,NA,NA,553.6732242198598,3710.833183322161,23016.61086079003,2875.304452204981,NA,12516.05728208747,15719.87105533738,137909.8571937918,14905.59915362266,NA,8403.231193963858,6337.631679553569,23771.29403516639,10393.37690885547,NA,12100.48655956842,2356.280794297034,9860.338971304696,2195.383616172947,21541.14065901512,227800.7695439965,1517446.715450651,83900.47735745682,139927.1814249752,204032.8989580048,1506.632670962817,4166.685889729135,6353.872029383623,33956.84033472889,8206.516819432914,15740.29216391047,62707.58486513796,59887.58731870815,1741.27418968955,14775.65225326959,2312.017629007355,10701.32032297375,668.8120918284532,NA,6383.575100623383,NA,NA,14359.93508125919,25042.05680144497,114604.1383163048,NA,10246.78178314239,19568.91521442532,135094.7907643509,6924.317262656473,NA,1077.097476727777,1707.104532160678,7319.808830049331,2142.439279210499,2826.697867587051,3660.483761001843,4165.589919969074,2796.821587970845,3388.245961138238,5466.331776179652,15079.40107469983,17599.34690892337
