sample,H3N3,H3N3F1,H3N4,H3N4F1,H3N5,H3N5F1,H4N2,H4N3,H4N3S1,H4N3F1,H4N3F1S1,H4N4,H4N4S1,H4N4F1,H4N4F1S1,H4N5,H4N5S1,H4N5F1,H4N5F1S1,H5N2,H5N3,H5N3S1,H5N3F1S1,H5N4,H5N4S1,H5N4S2,H5N4F1,H5N4F1S1,H5N4F1S2,H5N4F2,H5N4F2S1,H5N5,H5N5S1,H5N5S2,H5N5F1,H5N5F1S1,H5N5F1S2,H6N2,H6N3,H6N3S1,H6N3F1S1,H6N4S1,H6N4S2,H6N5,H6N5S1,H6N5S2,H6N5S3,H6N5F1S1,H6N5F1S2,H6N5F1S3,H6N5F2S3,H6N6F1S1,H6N6F1S2,H7N2,H7N6S1,H7N6S2,H7N6S3,H7N6S4,H7N6F1S2,H7N6F1S3,H7N6F1S4,H8N2,H9N2
S100,8.87019964084703e-4,7.673543993192109e-4,8.390343380903285e-4,0.010517012881863531,5.648195736679313e-4,0.002218278471982349,2.256288738748611e-4,0.0010936952644197025,0.005686777577167275,9.110654914153085e-4,0.0018994259329332104,0.004462006453037796,0.004325814581457783,0.03324052018717347,0.0043462908889079326,0.0016608507884490625,0.0016939466824437937,0.006202813916629417,0.004632741190858032,0.004327348998433422,0.001471557877892747,0.0023404737556107073,7.237127520442178e-4,0.007606003375356274,0.07668762780633563,0.45725968652134796,0.02738157025939531,0.05352391036963833,0.042207490846448266,3.574749889960883e-4,7.8195915276275e-5,0.002334634873108505,0.01415798498546249,0.0028328489640975455,0.006664521392018688,0.032474332612724886,0.019147351878145608,0.008818836189785824,7.56145899014805e-4,0.0020092434874125014,4.9920488973556364e-5,0.004445393645789891,0.0032950469467024402,0.0017278965103874166,0.00652145843467767,0.01584288403395921,0.09026867817774882,0.0024558070631266957,0.002752995771116694,0.011585653185847918,3.023290756320224e-4,3.9534625814986583e-4,2.6435147602876395e-4,0.0039172883709300025,2.3245657871637332e-4,0.002028708964631005,0.002641908304985015,0.00344593493394624,3.440678424702997e-4,4.5861330984152073e-4,5.924519356634393e-4,0.008832872767169772,0.005748888958988733
S105,1.501076746491735e-4,8.162688844204584e-4,7.006583081292768e-4,0.009595973907671876,6.362446540837787e-4,0.0026262833646378005,2.8574750484030496e-4,0.0011482302650524373,0.006724059375202844,9.448302883066808e-4,0.002236764245603318,0.0030259352591334035,0.004959071977915053,0.027398412746264075,0.005327469687002329,0.0015750408277610246,0.0016642631066898094,0.006936396737930265,1.8377090035552945e-4,0.005535565420148552,0.0013765691537228498,0.002319384730634013,8.856971269958585e-4,0.005770680351295871,0.07154034866467504,0.4671579466096878,0.02454604230061489,0.054257616527148535,0.04940483080785375,4.635659803736246e-4,9.413554177665911e-4,0.001603728383599065,0.012082816605609947,0.0029609147848857456,0.007164642969580229,0.03764719192405189,0.020310158259088856,0.010849897090205975,7.542021625273218e-4,0.00268133090745992,7.393403457049456e-4,0.0016567314250131423,0.0012674103626797572,0.0012128513406783085,0.006860015342170318,0.012273876613798116,0.06591805761722828,0.0024518234006454956,0.004760851861806097,0.027290285345856664,9.803398432259784e-4,3.153385151492197e-4,3.6078428903780027e-4,0.004087767370816426,2.4669894033108047e-4,0.0018023077692273896,0.002393322567613263,0.003482544928768302,7.191917057385112e-4,9.294670849141495e-4,0.0016301119032552235,0.008549291068219432,0.007264609773725823
S109,0.0010175338687837836,7.957647793583944e-4,9.858563888392475e-4,0.015178578657629133,9.402137401108327e-4,0.0030220723893300753,1.8272491479856103e-4,0.0010719212616934635,0.006726023800464523,7.045818754681447e-4,1.5891274163887118e-4,0.003585548451483684,0.0050958870899319,0.03314982828090244,0.003784119812710927,0.0019688237997530673,0.0020131641580873583,0.0058157783666846615,1.3983623205832398e-4,0.0025917208191120616,6.092622865892998e-4,0.0019548561247164998,6.900312829486609e-4,0.006625639530396826,0.07156218781785506,0.47936204752151407,0.022168888010716002,0.034546068342126646,0.04881560441838046,3.7318636207315674e-4,0.0010203461819674002,0.00186758573293716,0.010788872067159666,0.0028057518482678097,0.003973349954563867,0.015269122894811853,0.015635095157080413,0.004675195994431717,5.318523696033515e-4,0.0020186168402773963,2.565268752590099e-4,0.00212712789129736,0.001968315177286767,0.00131235317435102,0.00713841387323734,0.016416224709340135,0.0890192173374529,0.0028586871100392216,0.0053647002077497315,0.03321136750227265,0.0012728797862449383,4.2424973738185276e-4,5.305165025553997e-4,0.0019003541598531287,3.669220235300515e-4,0.0028252475480113567,0.0037756160379185753,0.005410578683393785,9.161550819231987e-4,0.0012585840665757459,0.0022173687172600894,0.004793087796367509,0.006253852596560898
S110,0.001179205041547269,8.535507883670104e-4,9.126944208486493e-4,0.013462602358601765,9.025199974416998e-4,0.0028473638676244227,2.0455402328060492e-4,0.0012254928485749645,0.007961035328529806,7.961967142133735e-4,1.6848175592488923e-4,0.003232530392053667,0.00508444089165876,0.028920298048465937,0.003532585200448458,0.001795285416838472,0.0019748358678711394,0.005026599878057194,1.4981922731214918e-4,0.0021366550770011558,5.622605094250267e-4,0.0017137488851886181,6.287152307938378e-4,0.005725333279616935,0.06911689107150905,0.49426647627611003,0.018136487887321664,0.03174521669977491,0.048546832171680696,3.9806216887066373e-4,7.344365242344809e-5,0.0014549059315789373,0.009339070041331216,0.0029513762798493697,0.0034880949684422445,0.015204666045572671,0.015692738441684683,0.003685368685947049,4.5312963711794367e-4,0.0017716523971768496,4.807415451848527e-4,0.002177836812561133,0.00202942341344224,0.0014215180703933115,0.006434508296960927,0.016003574989841857,0.09352318180395616,0.0027016904368101485,0.005674582941284952,0.03649303167452184,0.0014626907969338262,4.2134385872017084e-4,4.2817509921568806e-4,0.0015300706451578507,3.087371935294119e-4,0.0027438995757806234,0.004161299600095927,0.006463774594877023,0.0010671010543710305,0.0015331534926214755,0.0028612794993538924,0.003334634546478055,0.004459448935849057
S111,1.7042275565551113e-4,0.0010474325485896217,0.0012951139081215565,0.025290612586308082,0.0038224906710839722,0.0049922327178287575,3.658279398960107e-4,9.680409778452073e-4,0.00495764257524025,9.365011837522775e-4,0.0030922048117246166,0.0035631471319574567,0.004358178954938181,0.03641845528564568,0.006341901951030616,0.0034682311496204844,0.004798609141328211,0.012508952179184815,0.010776049610149592,0.0077747960881497154,9.76698226651465e-4,0.00465171464608563,0.0012971743907371324,0.005297578278780334,0.04428912548138405,0.3192412260606734,0.022853623552733324,0.06000192540898858,0.08075390412983324,3.7678382233189973e-4,9.909657206587088e-4,0.002243099494711021,0.015127193531191586,0.005518297587248997,0.0072781488549991755,0.02720036255343909,0.027931128279122797,0.010695309294383106,9.316695283001268e-4,0.00612880357490667,7.366628333289428e-4,0.0020517581392576305,0.0027050402195635025,5.793284917586284e-4,0.006933456197077689,0.012034416011575419,0.06647213331505342,0.006608622827782052,0.009872436495636568,0.04779324200871563,0.0034567382036294705,7.636910760445716e-4,0.0015466028604527759,0.006070031660200833,0.001977955107697393,0.0059862194892433525,0.006609457904757921,0.00875511415887386,0.0037695993352929898,0.004250776303602335,0.005863668722689486,0.011110618529968315,0.012008072800912505
S116,9.60053032910231e-4,8.504766392884734e-4,0.0011551018968551277,0.01880247101405995,0.0018288648676152482,0.003148083830295022,2.0258071571700495e-4,9.417896580794382e-4,0.005162416889512875,7.749143727000579e-4,0.0022521407965515527,0.0029655350358271733,0.004328383842742831,0.031231656453652487,0.005605049068416033,0.0027881250427416538,0.003957153065560363,0.006969213632415679,0.0063789812506807484,0.00281047376541709,6.8266971780988e-4,0.0023678127886766665,0.0011215864176304935,0.004406691252695689,0.05646936520776165,0.3396545059108048,0.015235700210194724,0.04385289290722154,0.06781958422256869,3.6661356987471156e-4,7.20350031131428e-4,0.001939290407042648,0.013031463978532314,0.004179041413351617,0.004692918492821056,0.02521055942886274,0.03430449978172892,0.0057327576688921906,4.308991018604323e-4,0.0022478964767535456,7.022591718063439e-4,0.00205713900005868,0.003050287692452205,9.58046802877956e-5,0.004412898147096256,0.01204326551682394,0.07628042094940056,0.0035688671625901123,0.011737201748957558,0.0911742956781696,0.0068603011879243,7.813258382530713e-4,0.0022293928807188257,0.00314904402099462,3.203492707033627e-4,0.0021783671446565043,0.0033220107134696903,0.008105927224764312,0.0018798059954757097,0.0036229087487228435,0.010039271839959365,0.006410515367842859,0.0062182554464787375
S126,8.996058095026509e-4,9.13226617675397e-4,7.254679683554124e-4,0.028430877500207827,0.0012600270666840619,0.003971120190863886,2.4830665462155353e-4,0.0011249056943422187,0.006076789133251039,8.002556694851958e-4,1.862816395126858e-4,0.0024017759938090213,0.0050905258848670636,0.04757331530126517,0.005821918781909966,0.001820303483839103,0.0017167106636965857,0.0058438671875317575,0.0055023710792242294,0.004789689210985951,7.369931435556296e-4,0.0038032314285622788,0.0047366515323628,0.005698326800480293,0.0708937885860201,0.5003833370044114,0.02048243959142424,0.041141207617677124,0.0501081837988608,9.801535735861667e-4,8.31340555844309e-5,0.00228416785135221,0.014630121515377941,0.0017692080081678804,0.004030851395330743,0.013356443944216206,0.013845571515629956,0.0064070564135458394,0.0010650739387641258,0.006272740743571087,7.700344905147293e-4,6.670181901861741e-5,0.0017077529424664693,1.0848070519506744e-4,0.005037174877748834,0.007852587893736674,0.03278189564630075,0.0037120404752988994,0.008075626130054747,0.03931628987355086,0.0019882570335991103,6.741490638025673e-4,0.0012488194156356942,0.00307040444447655,1.9236139250655904e-4,0.0011254995925548104,0.0010572596287121562,0.001188409677483772,0.0012558113596967489,0.0014228570730657226,0.0018362271892959094,0.005271361390412049,0.007933327432293165
S129,8.442920157492798e-4,8.063417368629281e-4,3.392938647606258e-4,0.00860005916779342,5.784132435398411e-4,0.001971695746577837,1.850297924129534e-4,9.598340729041933e-4,0.005955510293998436,9.625132904432844e-4,0.001465194173711566,0.002166721266142461,0.005156787071802316,0.032426233485120165,0.004471146235419426,0.0011772429581326795,9.750198702576785e-4,0.0058392003826416485,1.4091142858145745e-4,0.003963159679394864,9.144798555844586e-4,0.0020411417648547045,8.611047825074069e-4,0.006178766095264497,0.07903001108024325,0.4930612852432058,0.04254207785346592,0.05646149549440985,0.039163883907079165,5.48549229121187e-4,0.0010433119105980185,0.0018325457461693874,0.008097731833863638,0.0018305139949384777,0.004806982100274992,0.017279705259911616,0.01049587967622978,0.00714376928887036,6.931610905090496e-4,0.0027020800948311515,4.882924846796051e-4,0.0031228137848674157,0.001879256622353786,0.0010339379063250423,0.007912250924587617,0.013897923909003067,0.0601211618076655,0.0027768021300037028,0.005348735128875434,0.03387498859800856,9.98356627734212e-4,3.3381329607180767e-4,6.197593146439044e-4,0.0029812170294926913,0.0010805885480830945,0.0022980352294454413,0.0022457178601654852,0.0025089736012727805,8.717798037306991e-4,0.0011709615878667523,0.0016971874421860282,0.007103935732236145,0.006629067655889486
S13,4.3608753857592397e-4,4.0859910207509707e-4,4.3327635014804827e-4,0.013712870200255498,8.71478571540568e-4,0.0032874213459234635,1.3656889445495425e-4,4.504415788479595e-4,0.0031357439785147045,4.288154521524653e-4,0.0012912428760526366,0.0016733038994710292,0.0028040796343815665,0.03692285069213776,0.003202558363335402,0.0014950250324734324,0.0019525786702479968,0.00941648956010825,0.006616829200748087,0.006327509872295269,7.221185640254972e-4,0.0028944614212929078,0.0010093535914960264,0.0031848186355370187,0.05887035659423073,0.5055089762503918,0.02922109393744055,0.04425022749688935,0.03442546826534349,3.454147508699662e-4,0.001080416505201649,0.00258088254351822,0.01668606194054732,0.002062767390891624,0.006582327555683681,0.029989753266020498,0.01982370881725715,0.010193915710930618,6.342391680259178e-4,0.003509889557447846,4.247607137072416e-4,4.3805911487730865e-5,0.0012937795686674186,7.572369524291823e-4,0.007758815204294106,0.011347648696620586,0.058096128886572646,0.0026566813215528383,0.004733941339143172,0.029806703127681928,8.927807473410505e-4,5.95701191522336e-5,9.070927674795227e-4,0.00387821222343007,0.00106193426664492,0.0024734471529497394,0.002232686828827955,0.0022343870147504526,9.583685802160695e-4,0.001256070308539414,0.001675607734036332,0.008316608958080564,0.008020538130205253
S133,9.814704914086977e-4,0.001076998286480448,0.0012637515483141027,0.027472581986587658,0.002695367675951402,0.00563435238702147,2.0244018527895214e-4,0.0011495723498196298,0.006606716035880743,8.93742190100987e-4,1.6757738020304792e-4,0.0045276459203166365,0.005195319161395646,0.042123420816943265,0.005160309421839577,0.0033480886619001752,0.0025685443230476094,0.008603560208996896,0.0055154586009615965,0.003998418600126769,8.640543731392443e-4,0.004180082497814695,6.505887172309034e-4,0.007539316440320852,0.0693730187074956,0.4625680296395614,0.02533753652883166,0.04349023519680993,0.060641421970422285,4.767261456334684e-4,0.0012324001109830474,0.0026619429351969017,0.012665969213756552,0.0027123530731771777,0.005689161504535076,0.021185717814384483,0.020608403593633775,0.0052716625518567485,9.809081198657304e-4,0.0052873627444248485,1.4263853472786694e-4,5.777766385216367e-5,0.0027937752420546156,9.576409844959487e-5,0.005057033018469146,0.007484268333687825,0.0319699277052241,0.003922965724293115,0.007233707834730786,0.04285443757240379,0.0025832810997420395,4.3088305631543285e-4,8.105217826292056e-4,0.0026491324526156487,6.421197207557749e-4,9.490739209014877e-4,0.0010926158675347375,0.0012204662930854154,0.0011928568833597833,0.0013749370594071627,0.0020772177142997037,0.005176733834281529,0.006100729242236993
