sample,H3N3,H3N3F1,H3N4,H3N4F1,H3N5,H3N5F1,H4N2,H4N3,H4N3S1,H4N3F1,H4N3F1S1,H4N4,H4N4S1,H4N4F1,H4N4F1S1,H4N5,H4N5S1,H4N5F1,H4N5F1S1,H5N2,H5N3,H5N3S1,H5N3F1S1,H5N4,H5N4S1,H5N4S2,H5N4F1,H5N4F1S1,H5N4F1S2,H5N4F2,H5N4F2S1,H5N5,H5N5S1,H5N5S2,H5N5F1,H5N5F1S1,H5N5F1S2,H6N2,H6N3,H6N3S1,H6N3F1S1,H6N4S1,H6N4S2,H6N5,H6N5S1,H6N5S2,H6N5S3,H6N5F1S1,H6N5F1S2,H6N5F1S3,H6N5F2S3,H6N6F1S1,H6N6F1S2,H7N2,H7N6S1,H7N6S2,H7N6S3,H7N6S4,H7N6F1S2,H7N6F1S3,H7N6F1S4,H8N2,H9N2
S100,8.836544648429959e-4,8.41285799835712e-4,7.922091623636629e-4,0.010902804812142838,5.628888542465069e-4,0.0019354960713498907,1.8340260060098276e-4,0.001110148067133502,0.006311784232204628,9.037875052988559e-4,0.0015189429751684604,0.003830421084569978,0.004262645339384903,0.034343910187889674,0.004083774233373778,0.001388953413330216,0.0013548741153809824,0.005443807011435692,0.0027039702293171724,0.004037055423814437,0.0011497458082661341,0.0018987186829197596,7.331635116876456e-4,0.00672361202549417,0.07609371633728555,0.46574012573425094,0.027712155452412287,0.05196127854711609,0.04167561903018875,3.6930262031983744e-4,9.170130030049138e-5,0.0017761213671783525,0.011670604393738408,0.00264477338456735,0.005564990936002616,0.028467952715054846,0.017308634970775286,0.007421139578971223,5.739372228155621e-4,0.001536255350444739,9.170130030049138e-5,0.0037865392644644796,0.002228058868400985,0.001568479985141363,0.005518437664026394,0.01520529421093696,0.09349840185606578,0.0021148754811595714,0.0023653392188292604,0.009592471358406497,1.9679029240013917e-4,3.113826039064147e-4,1.9103986279836693e-4,0.003305702565117866,2.9096372770407103e-4,0.0016719659130377137,0.0023982654408231715,0.003237689669781743,3.166962062293707e-4,3.8106660890187277e-4,4.890036282476047e-4,0.007587496185422444,0.0051429735344224485
S105,1.0599672817928157e-4,8.829425287123947e-4,6.728202919701378e-4,0.009948572520985592,6.206183955558288e-4,0.002271971926903452,2.1199345635856314e-4,0.001149154340357123,0.007236850184319773,9.282364032861743e-4,0.0018432238638671182,0.0027371144125870085,0.004709438569659377,0.02872819476959924,0.004726739893200629,0.00132442736250553,0.0013336722385638626,0.0060367286695913154,1.0599672817928157e-4,0.005078323572093534,0.0010861749244085994,0.0018846682981510906,8.446630860080443e-4,0.005388045344540555,0.07224443907663564,0.4742472347984066,0.025335245735406513,0.052581035316605886,0.0499529891103165,0.00045642157543761156,9.973226708500872e-4,0.0013217583012875773,0.010073734049738263,0.0027519682997819914,0.0059103688122991585,0.032487926356115034,0.01830579936442381,0.009014120305978278,5.726788363347797e-4,0.0019326082193848694,7.442000680944587e-4,0.0016012023422368217,0.0011199700105448897,0.0010991949085147905,0.005759743662786294,0.012094501794672374,0.06974235188212846,0.002111896463817463,0.0040341688829950645,0.025183273145076797,7.294539235737096e-4,2.5935063461277475e-4,2.534698995123438e-4,0.0034440475640039304,3.053588285333482e-4,0.001511842429316143,0.0022055263473732215,0.003268139415638173,5.753954477060872e-4,7.31549462707546e-4,0.0013325968782889799,0.007366240976215444,0.006484305693064806
S109,0.0010409902272660882,8.655486767928742e-4,9.168809415053612e-4,0.015731614166337872,8.548414799601379e-4,0.0025958392382949814,1.611496872016886e-4,0.0010944175680508324,0.007238579005308606,7.485048826449046e-4,8.05748436008443e-5,0.0031700296719442433,0.0048038858907639035,0.03425735304069103,0.003697028413555407,0.0016178376765414238,0.0015804990638117568,0.005128891050792971,8.05748436008443e-5,0.002503779830545084,5.421909845463635e-4,0.0016379372697085722,7.090779252414842e-4,0.006019296778708525,0.07226091033086536,0.48469785582989494,0.023304364778537083,0.03548885911739705,0.04926810584301794,3.824779651352482e-4,0.0010774599024316015,0.0014900462074078319,0.009068212135791714,0.0026220309145485285,0.0036187450825923787,0.014503876586824201,0.014277416502897164,0.004091550138871009,4.2514145757497604e-4,0.001541953466800162,3.27022992298558e-4,0.0019911132529854144,0.0015375734432403314,0.0011897956901712626,0.005956790985030349,0.015697845114662892,0.09229112049812833,0.002412953204779888,0.004532133886586594,0.031418437653237305,9.75674741176485e-4,3.2966565236472293e-4,3.598933423127e-4,0.0016478567461691736,4.2151513086974784e-4,0.002216141003071807,0.003246135813109885,0.004828267174566633,7.000099638826444e-4,9.678063264030937e-4,0.0018073786901363909,0.004358360888359318,0.005590178388453444
S110,0.0012413455642879938,9.143273863418934e-4,8.54991925092419e-4,0.013954205762479941,8.266389516625076e-4,0.0024531614469882218,1.7269801103252647e-4,0.0012035080620725659,0.008306431945226737,8.187193056191043e-4,8.634900551626324e-5,0.0028980964260279813,0.004796011643672618,0.03019920737097134,0.00351880717095018,0.0014893609395218218,0.001553625142456005,0.0044817434516969115,8.634900551626324e-5,0.0020914817928418756,5.063276971941244e-4,0.0014702271950669664,6.643041770371451e-4,0.005354068767485381,0.07040797264923981,0.4974051660464404,0.019765822205102514,0.03296967974286301,0.04895613483838628,4.0313129436586896e-4,8.634900551626324e-5,0.0012242575584322918,0.007931189226824077,0.0027440011480592496,0.0032470249236806175,0.014449144805579609,0.014327426455318733,0.0032730492948741625,3.7085194209710064e-4,0.0013899224350246366,5.326934287480325e-4,0.002032442590201774,0.0015717906476307216,0.0012892314276211742,0.005456158894955304,0.015343525784411408,0.0966378503761172,0.002297501936512314,0.004787116091769727,0.0349371416694179,0.0011390290556266612,3.278384719357516e-4,2.9617425446573187e-4,0.001337623385216384,3.6637144467697606e-4,0.0021617365599278246,0.00352516136032077,0.0056521123558718085,7.920410504502588e-4,0.0011612203261937455,0.002326587447672052,0.003136331727079967,0.003999207994613053
S111,1.2333768924109652e-4,0.0010730633041706999,0.0011741037140487898,0.026203396527226506,0.002699712597866072,0.004180461007768342,2.4667537848219303e-4,0.0010180434179550783,0.00564298399026591,9.222273902843863e-4,0.0027043091516291296,0.0031528840618313264,0.004285890022820741,0.03736627181231627,0.005357182335538488,0.0026880867944912754,0.0034304971532109017,0.010414869243412101,0.006309140789289123,0.006969447468243589,8.106971107990926e-4,0.0033362522345483083,0.0011036533870185828,0.005030848064273944,0.050490423882494084,0.3437586712398313,0.023893193864591177,0.057396874902191974,0.08792214577600012,3.854801159430665e-4,0.0010476834094173728,0.0017210965576047435,0.01241053352400216,0.004815063355976506,0.0059881819307454,0.024298306782922743,0.02477728843223645,0.008893568163738538,6.857764326482841e-4,0.00373009602162353,7.421055313960323e-4,0.0019294502818731991,0.0019330338486796017,5.23290713117195e-4,0.005811841132549879,0.011882685392759265,0.07028882484612776,0.004994068110163474,0.008212585312139722,0.0473447878399901,0.0029684048563358278,5.302871831117107e-4,9.520569412339951e-4,0.005038726172966789,0.0016555554519329723,0.0041978348159668315,0.005218366201589948,0.007394940711183059,0.002201069318992071,0.0029771979749726113,0.004735511575304253,0.009342454988427918,0.010666501760486382
S116,9.711827111566812e-4,9.117508309472407e-4,0.0010584581123108728,0.019484844636230472,0.0014750501173849777,0.0026984879106744016,1.7167437995746452e-4,9.983731109480941e-4,0.005832537651879534,8.026097593804622e-4,0.0018582318500887061,0.0026897722839405004,0.004264493917691811,0.03242212432220742,0.0049023732435828,0.002210225178537395,0.0028883671748069217,0.006063141109494014,0.00372756574424574,0.0027001648333840294,5.974019259753238e-4,0.0019169003138876151,9.966889969517908e-4,0.00434027854330758,0.06054028151561758,0.36224749928839,0.017132713104729348,0.0436827484385926,0.0719235460584228,3.769788810281591e-4,7.715593434883545e-4,0.0015348784284594096,0.010805983039886948,0.003750742549979494,0.004156325730188989,0.022703498889136944,0.030120264298362703,0.0049542698814605615,3.5527773513289914e-4,0.0016797139860482244,7.150398820271e-4,0.001933862516325034,0.002107632616296101,8.583718997873226e-5,0.003966280051750207,0.011890525655715413,0.07991366952854041,0.00292545308084196,0.009721175980571007,0.09801238209347303,0.006368698447202547,5.4016708811512e-4,0.0013275521694537534,0.0026792926813032935,3.7752246399353677e-4,0.0017763373864961905,0.0029123240072914257,0.006907123149574208,0.0012528605699975086,0.0025687628549326057,0.008066408573923656,0.005673447071169853,0.005558665113130481
S126,8.986417549115978e-4,9.639505143243614e-4,6.943770191539285e-4,0.029454763254299157,0.0010867805845195476,0.003364165334557127,1.9449790552443722e-4,0.00113253856322091,0.006662971126220481,8.217788817852339e-4,9.724895276221861e-5,0.002241185208439107,0.004800197639543753,0.047826947698651916,0.005037892901426179,0.0015079589432134414,0.0013711069520331045,0.005151800436345797,0.0032135736862282833,0.004437591039955934,6.376932451958817e-4,0.002828050941062575,0.0027357273022506593,0.005333805500958769,0.07175601278213445,0.5026030911078639,0.021839865131677266,0.04132084748869183,0.05077215570600557,8.402041820342567e-4,9.724895276221861e-5,0.0017458426166823248,0.012031492449813648,0.0017325196080535726,0.003662271427465135,0.012868923381846703,0.012720271015764305,0.005499086790739629,7.686872695299909e-4,0.003799609311206965,7.680909645348469e-4,9.724895276221861e-5,0.0013881600073965298,9.724895276221861e-5,0.004435827788495675,0.008103005715865431,0.03636000262229663,0.003027058884266305,0.006752103329275576,0.03799669711512552,0.001603302303211009,4.794182960781147e-4,7.838205765006077e-4,0.0026148689205418183,2.494989885211469e-4,0.001012840130954408,0.0011033009373893564,0.0012609682739143295,9.036939236154446e-4,0.0010838731049686297,0.001499395615618613,0.004751005651979015,0.007075194335070426
S129,8.330832097308623e-4,8.745332919168149e-4,3.4871597091785576e-4,0.008916694460222401,5.739727183075539e-4,0.0017306481185395876,1.6239337944763115e-4,0.0010119109436008081,0.006554222842322866,9.409477364984602e-4,0.0011171504337044657,0.0020500886135556115,0.004845708020576083,0.03356602399988131,0.004167706102951313,0.0010201353046159626,8.277081472979292e-4,0.005147995361001459,8.119668972381558e-5,0.003719504005475071,7.664636414190586e-4,0.001697035325514411,8.281560257234371e-4,0.0056915079411507755,0.07782360138452961,0.4963798729999135,0.03977797554938559,0.0544361125032149,0.038236863249241096,5.235340082031821e-4,0.0011007105464343058,0.0014680051241566267,0.006947596714734257,0.0017863715369137972,0.004240217339172603,0.016199172302282714,0.00977713311339909,0.00609030287676494,5.329058268288431e-4,0.0019444953097798332,5.39181827041965e-4,0.002782957804866564,0.0014871671235129305,9.363724522720453e-4,0.006498448657769277,0.013520224364204088,0.06400599786232292,0.0023528454041522777,0.004518985299088852,0.03212656451891155,7.443995246847073e-4,2.715700931026274e-4,4.145405235054848e-4,0.0025417265698878407,0.001013292861645801,0.0018590220073834865,0.0020896506946901,0.0024443613379646835,6.724214846267865e-4,9.054281720282839e-4,0.0013868987034056858,0.006227320308513534,0.0059222497353681545
S13,3.7860617831186346e-4,5.139150038586284e-4,4.3522404968707987e-4,0.014213443945223598,8.032539540467106e-4,0.002811749367524276,1.347970649950087e-4,5.915250045192586e-4,0.003882584255446463,5.200051192030559e-4,9.619314675944519e-4,0.001639303673382767,0.003106770567266206,0.03784406451123304,0.0032794319258765362,0.001263930032366064,0.0015379933625877089,0.008009131581017868,0.003867074282976062,0.005752221027006235,6.267059552740864e-4,0.0022603429316516094,9.256898727847305e-4,0.0033452420629875835,0.06245333762308767,0.5069511038157244,0.029230344254396745,0.044027205376889,0.03296404167923241,3.591163544881762e-4,0.001138231869899016,0.001921931834210357,0.013593619256924963,0.001988785072198033,0.005507819319052262,0.026513395990478247,0.017889004100254718,0.008501821519585973,4.940213528955261e-4,0.0023942131572943794,4.8384901293632417e-4,6.739853249750435e-5,0.0011366964115707855,6.848177882617246e-4,0.006391726772236159,0.011272764856008326,0.06199347318366222,0.0022642416923696817,0.004011942009696192,0.02781418496329136,6.572724474436818e-4,6.739853249750435e-5,5.861050456110893e-4,0.0032739617485283007,9.990652242921566e-4,0.00197907721787345,0.002079366324958099,0.002205857568490174,7.260196815310931e-4,9.660215872575882e-4,0.0013694310450598174,0.007184183655282039,0.007152214925212042
S133,9.971007884250276e-4,0.001096679895068694,0.0011483061982604573,0.028462591844335205,0.0020272712029807283,0.0046893355099587395,1.716012799759229e-4,0.001150107493336808,0.00713359380884727,8.911500551865525e-4,8.580063998796146e-5,0.003879131870399634,0.004872097613088073,0.04274273521009931,0.00461972835542791,0.002604433744921699,0.0019642374972344582,0.007367494588285811,0.0032212444142387816,0.0037503330324112714,7.302877990059609e-4,0.00305603867851204,6.804205478859329e-4,0.006676297764691147,0.07060284283808405,0.47030592644875746,0.026003477638668344,0.043367969382630024,0.0632364092876715,4.669543035154946e-4,0.0012913910239069314,0.001969270908091595,0.010524325559698094,0.00254346558359019,0.00487842677660254,0.019435113269597962,0.018561104617331698,0.004579453598668794,7.165692092544028e-4,0.0033166860605226708,2.072865473725041e-4,8.580063998796146e-5,0.001978476852719206,8.580063998796146e-5,0.004450609371235777,0.007761345162415358,0.035519537455194504,0.003175809832774162,0.006065041168041455,0.04187025487083428,0.0021460703773520298,3.3382742307207566e-4,5.290870317672188e-4,0.0022686460342838323,6.640113816253933e-4,8.760852989895243e-4,0.0011345025752402377,0.0012910513473514931,8.668256714713554e-4,0.0010501272562418369,0.0016941934132487565,0.004673595204707358,0.0054546081049285195
